Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm),Notes
2013-05-04 08:47:51,Running,3.15,1900-01-01 00:16:35,1900-01-01 00:05:16,11.38,16,143,missing
2013-05-02 08:36:30,Running,6.21,1900-01-01 00:32:51,1900-01-01 00:05:18,11.33,36,143,missing
2013-05-01 08:14:59,Running,6.22,1900-01-01 00:32:29,1900-01-01 00:05:13,11.48,34,143,missing
2013-04-29 18:48:30,Walking,1.37,1900-01-01 00:22:39,1900-01-01 00:16:30,3.64,10,143,missing
2013-04-29 13:10:14,Walking,3.83,1900-01-01 00:38:30,1900-01-01 00:10:04,5.96,25,143,missing
2013-04-28 17:26:52,Cycling,13.87,1900-01-01 00:48:27,1900-01-01 00:03:30,17.17,133,143,missing
2013-04-28 10:56:47,Walking,1.32,1900-01-01 00:13:48,1900-01-01 00:10:30,5.72,5,143,missing
2013-04-28 09:02:23,Running,3.12,1900-01-01 00:16:36,1900-01-01 00:05:19,11.28,17,143,missing
2013-04-24 18:31:02,Running,6.25,1900-01-01 00:29:29,1900-01-01 00:04:43,12.71,33,143,missing
2013-04-18 21:48:44,Walking,1.5,1900-01-01 00:24:41,1900-01-01 00:16:28,3.64,9,143,missing
2013-04-17 19:27:15,Running,6.48,1900-01-01 00:32:49,1900-01-01 00:05:04,11.84,37,143,missing
2013-04-13 08:51:29,Running,6.34,1900-01-01 00:33:02,1900-01-01 00:05:13,11.51,33,143,missing
2013-03-20 18:49:59,Running,7.04,1900-01-01 00:40:12,1900-01-01 00:05:43,10.5,0,143,missing
2013-03-13 18:59:51,Running,6.41,1900-01-01 00:37:48,1900-01-01 00:05:54,10.17,35,143,missing
2013-03-11 18:27:56,Walking,1.86,1900-01-01 00:16:39,1900-01-01 00:08:56,6.72,16,143,missing
2013-02-28 18:46:54,Running,10.3,1900-01-01 01:02:36,1900-01-01 00:06:05,9.87,67,143,missing
2013-02-26 18:37:02,Running,9.53,1900-01-01 00:54:44,1900-01-01 00:05:45,10.45,52,143,missing
2013-02-22 19:23:38,Running,6.32,1900-01-01 00:35:58,1900-01-01 00:05:41,10.55,35,143,missing
2013-02-20 18:43:56,Running,9.59,1900-01-01 00:52:35,1900-01-01 00:05:29,10.94,52,143,missing
2013-02-15 18:46:00,Running,9.48,1900-01-01 00:50:29,1900-01-01 00:05:20,11.27,51,143,missing
2013-02-06 18:58:31,Running,3.07,1900-01-01 00:08:54,1900-01-01 00:02:54,20.72,9,143,missing
2013-01-23 18:38:29,Running,8.65,1900-01-01 00:50:13,1900-01-01 00:05:48,10.34,45,143,missing
2013-01-19 09:58:50,Running,3.39,1900-01-01 00:15:56,1900-01-01 00:04:42,12.75,15,143,missing
2013-01-15 18:40:08,Running,6.72,1900-01-01 00:32:42,1900-01-01 00:04:52,12.34,32,143,missing
2013-01-12 08:39:55,Running,3.09,1900-01-01 00:20:07,1900-01-01 00:06:31,9.21,13,143,missing
2013-01-02 18:35:11,Running,5.47,1900-01-01 00:31:24,1900-01-01 00:05:45,10.44,28,143,missing
2012-12-22 08:29:13,Running,3.05,1900-01-01 00:18:44,1900-01-01 00:06:09,9.76,17,143,missing
2012-12-15 09:43:53,Running,3.14,1900-01-01 00:20:08,1900-01-01 00:06:25,9.36,18,143,missing
2012-12-08 08:37:38,Running,3.21,1900-01-01 00:18:50,1900-01-01 00:05:53,10.21,18,143,missing
2012-12-04 18:52:39,Running,6.63,1900-01-01 00:32:05,1900-01-01 00:04:50,12.39,30,143,missing
2012-12-01 08:21:18,Running,3.31,1900-01-01 00:18:07,1900-01-01 00:05:28,10.97,18,143,missing
2012-11-28 18:58:02,Running,6.28,1900-01-01 00:37:29,1900-01-01 00:05:58,10.04,35,143,missing
2012-11-24 08:57:47,Running,2.65,1900-01-01 00:14:07,1900-01-01 00:05:20,11.27,15,143,missing
2012-11-18 09:51:18,Running,3.18,1900-01-01 00:17:13,1900-01-01 00:05:25,11.09,18,143,missing
2012-11-10 08:37:49,Running,2.85,1900-01-01 00:16:52,1900-01-01 00:05:55,10.14,16,143,missing
2012-11-07 18:54:35,Running,4.79,1900-01-01 00:27:16,1900-01-01 00:05:42,10.53,23,143,missing
2012-11-04 18:59:06,Walking,1.22,1900-01-01 00:12:05,1900-01-01 00:09:54,6.07,10,143,missing
2012-10-23 18:43:56,Running,5.2,1900-01-01 00:29:26,1900-01-01 00:05:40,10.59,27,143,missing
2012-10-20 08:37:33,Running,3.18,1900-01-01 00:19:28,1900-01-01 00:06:07,9.8,18,143,missing
2012-10-18 18:39:07,Running,3.7,1900-01-01 00:19:17,1900-01-01 00:05:13,11.51,20,143,missing
2012-10-16 20:27:31,Running,1.28,1900-01-01 00:13:17,1900-01-01 00:10:24,5.77,9,143,missing
2012-09-22 08:56:08,Running,3.16,1900-01-01 00:16:26,1900-01-01 00:05:13,11.52,18,143,missing
2012-09-15 08:05:15,Running,3.11,1900-01-01 00:16:58,1900-01-01 00:05:28,10.98,18,143,missing
2012-09-08 08:35:02,Running,3.27,1900-01-01 00:15:55,1900-01-01 00:04:52,12.32,15,143,missing
2012-09-04 19:12:17,Running,6.26,1900-01-01 00:32:35,1900-01-01 00:05:12,11.53,34,143,missing
2012-09-03 15:25:22,Walking,2.49,1900-01-01 00:26:58,1900-01-01 00:10:51,5.53,14,143,missing
2012-09-03 13:20:56,Walking,4.29,1900-01-01 00:39:25,1900-01-01 00:09:12,6.53,112,143,missing
2012-09-02 08:41:31,Running,3.14,1900-01-01 00:16:16,1900-01-01 00:05:11,11.56,18,143,missing
2012-08-30 07:10:21,Walking,1.43,1900-01-01 00:15:12,1900-01-01 00:10:40,5.63,7,143,I was feeling sick
2012-08-29 18:19:26,Walking,1.34,1900-01-01 00:13:14,1900-01-01 00:09:55,6.05,16,143,missing
2012-08-29 08:21:43,Walking,1.48,1900-01-01 00:14:48,1900-01-01 00:10:02,5.98,6,143,missing
2012-08-28 19:43:52,Walking,1.46,1900-01-01 00:13:24,1900-01-01 00:09:12,6.52,13,143,missing
2012-08-28 07:06:57,Walking,1.57,1900-01-01 00:13:39,1900-01-01 00:08:41,6.91,7,143,missing
2012-08-24 12:59:42,Walking,1.48,1900-01-01 00:17:56,1900-01-01 00:12:09,4.94,12,143,missing
2012-08-24 10:12:16,Walking,1.49,1900-01-01 00:13:43,1900-01-01 00:09:14,6.49,9,143,missing
2012-08-24 08:13:12,Running,3.15,1900-01-01 00:16:00,1900-01-01 00:05:05,11.82,17,143,missing
2012-08-22 18:53:54,Running,5.69,1900-01-01 00:31:08,1900-01-01 00:05:29,10.95,32,143,missing
