Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm),Notes
2017-11-15 18:06:19,Running,10.42,1900-01-01 01:03:00,1900-01-01 00:06:03,9.93,159,139,TomTom MySports Watch
2017-11-09 18:39:48,Running,9.2,1900-01-01 00:53:40,1900-01-01 00:05:50,10.29,155,155,TomTom MySports Watch
2017-11-05 15:48:01,Running,12.78,1900-01-01 01:10:36,1900-01-01 00:05:31,10.86,172,154,TomTom MySports Watch
2017-10-28 16:07:20,Running,12.87,1900-01-01 01:11:13,1900-01-01 00:05:32,10.84,170,148,TomTom MySports Watch
2017-10-19 18:22:10,Running,8.85,1900-01-01 00:50:41,1900-01-01 00:05:44,10.47,144,140,TomTom MySports Watch
2017-10-16 17:09:27,Running,14.9,1900-01-01 01:22:16,1900-01-01 00:05:31,10.86,215,146,TomTom MySports Watch
2017-10-10 18:24:47,Running,8.04,1900-01-01 00:43:22,1900-01-01 00:05:24,11.13,126,146,TomTom MySports Watch
2017-10-07 16:29:17,Running,18.67,1900-01-01 01:48:11,1900-01-01 00:05:48,10.36,297,143,TomTom MySports Watch
2017-10-01 17:55:38,Running,12.76,1900-01-01 01:11:15,1900-01-01 00:05:35,10.74,174,144,TomTom MySports Watch
2017-09-28 18:20:48,Running,12.77,1900-01-01 01:07:38,1900-01-01 00:05:18,11.33,171,143,TomTom MySports Watch
2017-09-25 18:39:09,Running,12.75,1900-01-01 01:06:43,1900-01-01 00:05:14,11.46,169,148,TomTom MySports Watch
2017-09-22 12:27:14,Cycling,49.18,1900-01-01 02:42:32,1900-01-01 00:03:18,18.15,367,143,missing
2017-09-19 16:24:08,Running,17.77,1900-01-01 01:39:39,1900-01-01 00:05:36,10.7,257,139,TomTom MySports Watch
2017-09-16 17:26:25,Running,18.6,1900-01-01 01:43:09,1900-01-01 00:05:33,10.82,313,138,TomTom MySports Watch
2017-09-10 16:57:56,Running,23.64,1900-01-01 02:16:31,1900-01-01 00:05:47,10.39,394,142,TomTom MySports Watch
2017-09-07 18:44:44,Running,8.5,1900-01-01 00:44:32,1900-01-01 00:05:14,11.45,88,141,TomTom MySports Watch
2017-09-05 18:34:21,Running,12.77,1900-01-01 01:06:15,1900-01-01 00:05:11,11.56,127,152,TomTom MySports Watch
2017-09-03 17:20:20,Running,23.8,1900-01-01 02:11:00,1900-01-01 00:05:30,10.9,384,151,TomTom MySports Watch
2017-08-31 18:44:27,Running,12.79,1900-01-01 01:06:39,1900-01-01 00:05:13,11.51,169,142,TomTom MySports Watch
2017-08-29 18:36:14,Running,12.7,1900-01-01 01:07:42,1900-01-01 00:05:20,11.25,127,147,TomTom MySports Watch
2017-08-19 18:01:57,Running,23.62,1900-01-01 02:17:14,1900-01-01 00:05:49,10.33,377,138,TomTom MySports Watch
2017-08-17 18:36:00,Cycling,15.53,1900-01-01 00:40:04,1900-01-01 00:02:35,23.25,164,138,TomTom MySports Watch
2017-08-16 19:00:40,Running,12.79,1900-01-01 01:07:40,1900-01-01 00:05:17,11.34,170,148,TomTom MySports Watch
2017-08-14 18:01:38,Running,12.77,1900-01-01 01:08:40,1900-01-01 00:05:23,11.16,171,142,TomTom MySports Watch
2017-08-10 18:28:54,Running,8.43,1900-01-01 00:43:48,1900-01-01 00:05:12,11.54,86,147,TomTom MySports Watch
2017-08-08 18:39:14,Running,12.56,1900-01-01 00:59:37,1900-01-01 00:04:45,12.64,121,158,TomTom MySports Watch
2017-08-05 17:14:00,Running,18.6,1900-01-01 01:44:22,1900-01-01 00:05:37,10.69,295,142,missing
2017-08-01 18:39:42,Running,8.4,1900-01-01 00:42:50,1900-01-01 00:05:06,11.77,83,156,TomTom MySports Watch
2017-07-30 17:24:23,Running,18.58,1900-01-01 01:45:15,1900-01-01 00:05:40,10.59,307,145,TomTom MySports Watch
2017-07-23 17:14:16,Running,18.71,1900-01-01 01:39:26,1900-01-01 00:05:19,11.29,298,144,TomTom MySports Watch
2017-07-19 18:50:31,Running,12.8,1900-01-01 01:08:04,1900-01-01 00:05:19,11.28,170,143,TomTom MySports Watch
2017-07-16 10:34:21,Running,18.54,1900-01-01 01:44:22,1900-01-01 00:05:38,10.66,295,142,TomTom MySports Watch
2017-07-10 18:26:02,Running,12.6,1900-01-01 01:04:42,1900-01-01 00:05:08,11.68,124,155,TomTom MySports Watch
